Iso_Idxs,Value,Unc,RefRemarks,Refs,Term,Include,Table
048114,4.613,0.009,Ka71 mu-Xray      MIA in  En74 T.III.    Syst+Nuclpol = .001  ,"['Ka71', 'En74']",R048114,,absl
048114,4.61,0.0043,Fr86 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Fr86', 'Fr95']",R048114,,absl
048116,4.639,0.008,Gi75 el-scatt.      ,['Gi75'],R048116,,absl
048116,4.625,0.0043,Fr86 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Fr86', 'Fr95']",R048116,,absl
049113,4.598,0.0053,Ja89 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Ja89', 'Fr95']",R049113,,absl
049115,4.646,0.012,Ja76 el-scatt.      From Vr87,"['Ja76', 'Vr87']",R049115,,absl
049115,4.617,0.016,Ka71 mu-Xray      MIA in  En74 T.III.    Syst+Nuclpol = .001  ,"['Ka71', 'En74']",R049115,,absl
049115,4.614,0.0044,Ja89 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Ja89', 'Fr95']",R049115,,absl
050110,4.5807,0.0064,Fr97 OEM  combined analysis,['Fr97'],R050110,,absl
050111,4.5859,0.0061,Fr97 OEM  combined analysis,['Fr97'],R050111,,absl
050112,4.586,0.005,Fi72 el-scatt.      ,['Fi72'],R050112,,absl
050112,4.593,0.0045,Pi90 From Fr95 T.III.A. Error estimated,"['Pi90', 'Fr95']",R050112,,absl
050113,4.6038,0.0047,Fr97 OEM  combined analysis,['Fr97'],R050113,,absl
050114,4.602,0.005,Fi72 el-scatt.      ,['Fi72'],R050114,,absl
050114,4.609,0.0046,Pi90 From Fr95 T.III.A. Error estimated,"['Pi90', 'Fr95']",R050114,,absl
050115,4.6167,0.0038,Fr97 OEM  combined analysis,['Fr97'],R050115,,absl
050116,4.625,0.0046,Pi90 From Fr95 T.III.A. Error estimated,"['Pi90', 'Fr95']",R050116,,absl
050117,4.625,0.005,Fi72 el-scatt.      ,['Fi72'],R050117,,absl
050117,4.63,0.0045,Pi90 From Fr95 T.III.A. Error estimated,"['Pi90', 'Fr95']",R050117,,absl
050118,4.634,0.005,Fi72 el-scatt.      ,['Fi72'],R050118,,absl
050118,4.641,0.0046,Pi90 From Fr95 T.III.A. Error estimated,"['Pi90', 'Fr95']",R050118,,absl
050119,4.639,0.005,Fi72 el-scatt.      ,['Fi72'],R050119,,absl
050119,4.643,0.0045,Pi90 From Fr95 T.III.A. Error estimated,"['Pi90', 'Fr95']",R050119,,absl
050120,4.646,0.005,Fi72 el-scatt.      ,['Fi72'],R050120,,absl
050120,4.655,0.0045,Pi90 From Fr95 T.III.A. Error estimated,"['Pi90', 'Fr95']",R050120,,absl
050121,4.6589,0.0013,Fr97 OEM  combined analysis,['Fr97'],R050121,,absl
050122,4.658,0.005,Fi72 el-scatt.      ,['Fi72'],R050122,,absl
050122,4.667,0.0046,Pi90 From Fr95 T.III.A. Error estimated,"['Pi90', 'Fr95']",R050122,,absl
050123,4.6684,0.002,Fr97 OEM  combined analysis,['Fr97'],R050123,,absl
050124,4.676,0.001,"Ma92 Includes Ca82a, Pi90","['Ma92', 'Ca82a', 'Pi90']",R050124,,absl
050125,4.6779,0.0027,Fr97 OEM  combined analysis,['Fr97'],R050125,,absl
051121,4.681,0.0046,Kl88 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Kl88', 'Fr95']",R051121,,absl
051123,4.689,0.0051,Kl88 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Kl88', 'Fr95']",R051123,,absl
052122,4.71,0.0053,Sh89 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Sh89', 'Fr95']",R052122,,absl
052123,4.712,0.0045,Sh89 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Sh89', 'Fr95']",R052123,,absl
052124,4.719,0.0046,Sh89 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Sh89', 'Fr95']",R052124,,absl
052125,4.721,0.0046,Sh89 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Sh89', 'Fr95']",R052125,,absl
052126,4.731,0.007,Ka71 mu-Xray      MIA in  En74 T.III.      Syst+Nuclpol = .001  ,"['Ka71', 'En74']",R052126,,absl
052126,4.727,0.0046,Sh89 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Sh89', 'Fr95']",R052126,,absl
052128,4.735,0.0046,Sh89 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Sh89', 'Fr95']",R052128,,absl
052130,4.742,0.0046,Sh89 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Sh89', 'Fr95']",R052130,,absl
053127,4.752,0.007,Ka71 mu-Xray      MIA in  En74 T.III.    Syst+Nuclpol = .001  ,"['Ka71', 'En74']",R053127,,absl
053127,4.749,0.0047,Kl88 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Kl88', 'Fr95']",R053127,,absl
054124,4.762,0.0046,He84 mu-Xray      From Fr95 Table III.A.      Error estimated,"['He84', 'Fr95']",R054124,,absl
054126,4.77,0.0048,He84 mu-Xray      From Fr95 Table III.A.      Error estimated,"['He84', 'Fr95']",R054126,,absl
054128,4.776,0.0048,He84 mu-Xray      From Fr95 Table III.A.      Error estimated,"['He84', 'Fr95']",R054128,,absl
054129,4.776,0.0047,He84 mu-Xray      From Fr95 Table III.A.      Error estimated,"['He84', 'Fr95']",R054129,,absl
054130,4.783,0.0046,He84 mu-Xray      From Fr95 Table III.A.      Error estimated,"['He84', 'Fr95']",R054130,,absl
054131,4.781,0.0046,He84 mu-Xray      From Fr95 Table III.A.      Error estimated,"['He84', 'Fr95']",R054131,,absl
054132,4.787,0.0047,He84 mu-Xray      From Fr95 Table III.A.      Error estimated,"['He84', 'Fr95']",R054132,,absl
054134,4.792,0.0047,He84 mu-Xray      From Fr95 Table III.A.      Error estimated,"['He84', 'Fr95']",R054134,,absl
054136,4.799,0.0047,He84 mu-Xray      From Fr95 Table III.A.      Error estimated,"['He84', 'Fr95']",R054136,,absl
055133,4.804,0.0046,Kl88 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Kl88', 'Fr95']",R055133,,absl
056134,4.829,0.0048,"Fr95 mu-Xray      Includes  Sh82, Ku83","['Fr95', 'Sh82', 'Ku83']",R056134,,absl
056135,4.827,0.0048,Sh82 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Sh82', 'Fr95']",R056135,,absl
056136,4.833,0.0048,"Fr95 mu-Xray      Includes  Sh82, Ku83","['Fr95', 'Sh82', 'Ku83']",R056136,,absl
056137,4.832,0.0048,Sh82 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Sh82', 'Fr95']",R056137,,absl
056138,4.84,0.016,Ma72 mu-Xray      MIA in  En74 T.III.      Syst+Nuclpol = .001  ,"['Ma72', 'En74']",R056138,,absl
056138,4.839,0.0048,"Fr95 mu-Xray      Includes  Sh82, Ku83","['Fr95', 'Sh82', 'Ku83']",R056138,,absl
057139,4.855,0.0049,Re87 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Re87', 'Fr95']",R057139,,absl
058140,4.879,0.012,Je70 mu-Xray     ,['Je70'],R058140,,absl
058140,4.877,0.003,Ma72 mu-Xray      MIA in  En74 T.III.      Syst+Nuclpol = .001  ,"['Ma72', 'En74']",R058140,,absl
058140,4.877,0.0049,Re87 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Re87', 'Fr95']",R058140,,absl
058142,4.906,0.003,Ma72 mu-Xray      MIA in  En74 T.III.      Syst+Nuclpol = .001  ,"['Ma72', 'En74']",R058142,,absl
058142,4.907,0.005,Re87 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Re87', 'Fr95']",R058142,,absl
059141,4.892,0.005,Re87 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Re87', 'Fr95']",R059141,,absl
060142,4.914,0.0051,Re87 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Re87', 'Fr95']",R060142,,absl
060143,4.924,0.0053,Re87 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Re87', 'Fr95']",R060143,,absl
060144,4.942,0.005,Ma70 mu-Xray      MIA in  En74 T.III.      Syst+Nuclpol = .001  ,"['Ma70', 'En74']",R060144,,absl
060144,4.941,0.005,Re87 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Re87', 'Fr95']",R060144,,absl
060145,4.953,0.0054,Re87 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Re87', 'Fr95']",R060145,,absl
060146,4.993,0.037,Ma74 el-scatt.     ,['Ma74'],R060146,,absl
060146,4.969,0.005,Ma70 mu-Xray      MIA in  En74 T.III.      Syst+Nuclpol = .001  ,"['Ma70', 'En74']",R060146,,absl
060146,4.968,0.005,Re87 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Re87', 'Fr95']",R060146,,absl
060148,4.998,0.004,Ma70 mu-Xray      MIA in  En74 T.III.      Syst+Nuclpol = .001  ,"['Ma70', 'En74']",R060148,,absl
060148,4.998,0.0048,Re87 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Re87', 'Fr95']",R060148,,absl
060150,5.015,0.037,Ma74 el-scatt.     ,['Ma74'],R060150,,absl
060150,5.048,0.027,Hi70 mu-Xray      ,['Hi70'],R060150,,absl
060150,5.039,0.004,Ma70 mu-Xray      MIA in  En74 T.III.      Syst+Nuclpol = .001  ,"['Ma70', 'En74']",R060150,,absl
060150,5.047,0.0051,Be92 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Be92', 'Fr95']",R060150,,absl
062144,4.949,0.0053,"Fr95 Includes Po79, Ja89, Ma92a ","['Fr95', 'Po79', 'Ja89', 'Ma92a']",R062144,,absl
062147,4.983,0.0053,"Fr95 Includes Po79, Ja89, Ma92a ","['Fr95', 'Po79', 'Ja89', 'Ma92a']",R062147,,absl
062148,4.994,0.0053,"Fr95 Includes Po79, Ja89, Ma92a ","['Fr95', 'Po79', 'Ja89', 'Ma92a']",R062148,,absl
062149,5.008,0.0053,"Fr95 Includes Po79, Ja89, Ma92a ","['Fr95', 'Po79', 'Ja89', 'Ma92a']",R062149,,absl
062150,5.047,0.0068,"Fr95 Includes Ya78, Ma92a ","['Fr95', 'Ya78', 'Ma92a']",R062150,,absl
062152,5.092,0.0056,"Fr95 Includes Po79, Ja89, Ma92a ","['Fr95', 'Po79', 'Ja89', 'Ma92a']",R062152,,absl
062154,5.113,0.0063,"Fr95 Includes Po79, Ja89 ","['Fr95', 'Po79', 'Ja89']",R062154,,absl
063151,5.044,0.0053,"Fr95 Includes  Ta84b, Ja89","['Fr95', 'Ta84b', 'Ja89']",R063151,,absl
063153,5.118,0.0055,"Fr95 Includes  Ta84b, Ja89","['Fr95', 'Ta84b', 'Ja89']",R063153,,absl
064154,5.122,0.0062,"Fr95 Includes La83, Ja89, Ma92a ","['Fr95', 'La83', 'Ja89', 'Ma92a']",R064154,,absl
064155,5.13,0.0058,"Fr95 Includes La83, Ja89, Be92, Ma92a ","['Fr95', 'La83', 'Ja89', 'Be92', 'Ma92a']",R064155,,absl
064156,5.142,0.0058,"Fr95 Includes La83, Ja89, Ma92a ","['Fr95', 'La83', 'Ja89', 'Ma92a']",R064156,,absl
064157,5.146,0.0058,"Fr95 Includes La83, Ja89, Ma92a ","['Fr95', 'La83', 'Ja89', 'Ma92a']",R064157,,absl
064158,5.159,0.0058,"Fr95 Includes La83, Ja89, Ma92a ","['Fr95', 'La83', 'Ja89', 'Ma92a']",R064158,,absl
064160,5.174,0.0058,"Fr95 Includes La83, Ja89, Ma92a ","['Fr95', 'La83', 'Ja89', 'Ma92a']",R064160,,absl
065159,5.06,0.15,Wi67 mu-Xray      ,['Wi67'],R065159,,absl
066161,5.196,0.0061,Be92 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Be92', 'Fr95']",R066161,,absl
066162,5.211,0.026,Hi70 mu-Xray      ,['Hi70'],R066162,,absl
066162,5.209,0.006,Be92 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Be92', 'Fr95']",R066162,,absl
066163,5.211,0.0059,Be92 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Be92', 'Fr95']",R066163,,absl
066164,5.218,0.029,Hi70 mu-Xray      ,['Hi70'],R066164,,absl
066164,5.224,0.0059,Be92 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Be92', 'Fr95']",R066164,,absl
067165,5.19,0.05,Uh71 el-scatt.     ,['Uh71'],R067165,,absl
067165,5.21,0.04,Po76 mu-Xray      ,['Po76'],R067165,,absl
068166,5.239,0.006,"Ma92 El+mu analysis.      Includes  Ca78, Ma92(mu)","['Ma92', 'Ca78', 'Ma92']",R068166,,absl
068167,5.258,0.006,Ma92a mu-Xray      From Fr95 Table III.A.      Error estimated,"['Ma92a', 'Fr95']",R068167,,absl
068168,5.26,0.025,Hi70 mu-Xray      ,['Hi70'],R068168,,absl
068168,5.272,0.0063,Ma92a mu-Xray      From Fr95 Table III.A.      Error estimated,"['Ma92a', 'Fr95']",R068168,,absl
068170,5.264,0.025,Hi70 mu-Xray      ,['Hi70'],R068170,,absl
068170,5.286,0.0063,Ma92a mu-Xray      From Fr95 Table III.A.      Error estimated,"['Ma92a', 'Fr95']",R068170,,absl
069169,5.2256,0.0035,De73 mu-Xray      Model+Syst+Nuclpol = .001  ,['De73'],R069169,,absl
070170,5.286,0.0063,Ze73 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Ze73', 'Fr95']",R070170,,absl
070171,5.14,0.03,Ad73 mu-Xray      From  En74.      Error: 2x.015 for model,"['Ad73', 'En74']",R070171,,absl
070171,5.293,0.0063,Ze73 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Ze73', 'Fr95']",R070171,,absl
070172,5.155,0.044,Ad73 mu-Xray      From  En74.      Error: 2x.022 for model,"['Ad73', 'En74']",R070172,,absl
070172,5.301,0.0063,Ze73 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Ze73', 'Fr95']",R070172,,absl
070173,5.306,0.0063,Ze73 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Ze73', 'Fr95']",R070173,,absl
070174,5.41,0.03,Sa79 el-scatt.      From Vr87      ,"['Sa79', 'Vr87']",R070174,,absl
070174,5.157,0.03,Ad73 mu-Xray      From  En74.      Error: 2x.015 for model,"['Ad73', 'En74']",R070174,,absl
070174,5.317,0.0063,Be92 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Be92', 'Fr95']",R070174,,absl
070176,5.443,0.02,Cr77 el-scatt.      From Vr87      Includes  Co76,"['Cr77', 'Vr87', 'Co76']",R070176,,absl
070176,5.321,0.0063,Ze73 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Ze73', 'Fr95']",R070176,,absl
071175,5.37,0.03,Sa79 el-scatt.      From Vr87      ,"['Sa79', 'Vr87']",R071175,,absl
072176,5.331,0.0065,Ta84c mu-Xray      From Fr95 Table III.C.      Error estimated,"['Ta84c', 'Fr95']",R072176,,absl
072177,5.334,0.0065,Ta84c mu-Xray      From Fr95 Table III.C.      Error estimated,"['Ta84c', 'Fr95']",R072177,,absl
072178,5.338,0.0065,Ta84c mu-Xray      From Fr95 Table III.C.      Error estimated,"['Ta84c', 'Fr95']",R072178,,absl
072179,5.339,0.0065,Ta84c mu-Xray      From Fr95 Table III.C.      Error estimated,"['Ta84c', 'Fr95']",R072179,,absl
072180,5.349,0.0063,Ta84c mu-Xray      From Fr95 Table III.C.      Error estimated,"['Ta84c', 'Fr95']",R072180,,absl
073181,5.328,0.034,ML76 mu-Xray      ,['ML76'],R073181,,absl
073181,5.354,0.0064,Be92 mu-Xray      From Fr95 Table III.C.      Includes  Po77,"['Be92', 'Fr95', 'Po77']",R073181,,absl
074182,5.355,0.002,"Ma92 El+mu analysis.      Includes  Pe86, Ma92(mu)","['Ma92', 'Pe86', 'Ma92']",R074182,,absl
074183,5.33,0.15,Wi67 mu-Xray      ,['Wi67'],R074183,,absl
074184,5.364,0.002,"Ma92 El+mu analysis.      Includes  Pe86, Ma92(mu)","['Ma92', 'Pe86', 'Ma92']",R074184,,absl
074186,5.4,0.04,Ka73 el-scatt.      ,['Ka73'],R074186,,absl
074186,5.373,0.022,Hi70 mu-Xray      ,['Hi70'],R074186,,absl
074186,5.381,0.0065,Ma92a mu-Xray      From Fr95 Table III.C.      Error estimated,"['Ma92a', 'Fr95']",R074186,,absl
076186,5.387,0.0072,Ho81 mu-Xray      From Fr95 Table III.C.      Error estimated,"['Ho81', 'Fr95']",R076186,,absl
076188,5.4001,0.0013,Bo88 El+mu analysis with  Ho81(mu),"['Bo88', 'Ho81']",R076188,,absl
076189,5.36,0.15,Wi67 mu-Xray   ,['Wi67'],R076189,,absl
076190,5.4062,0.0014,Bo88 El+mu analysis with  Ho81(mu),"['Bo88', 'Ho81']",R076190,,absl
076192,5.41,0.002,"Ma92 El+mu analysis.      Includes  Re84a, Ho81","['Ma92', 'Re84a', 'Ho81']",R076192,,absl
077191,5.39,0.15,Wi67 mu-Xray   ,['Wi67'],R077191,,absl
077193,5.41,0.15,Wi67 mu-Xray   ,['Wi67'],R077193,,absl
078194,5.369,0.009,Bo88 el-scatt.      ,['Bo88'],R078194,,absl
078194,5.425,0.0069,Be90 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Be90', 'Fr95']",R078194,,absl
078195,5.427,0.0069,Be90 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Be90', 'Fr95']",R078195,,absl
078196,5.38,0.02,Bo83 el-scatt.      From Vr87      ,"['Bo83', 'Vr87']",R078196,,absl
078196,5.37,0.003,Bo88 el-scatt.      ,['Bo88'],R078196,,absl
078196,5.432,0.0068,Be90 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Be90', 'Fr95']",R078196,,absl
078198,5.441,0.0063,Be90 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Be90', 'Fr95']",R078198,,absl
079197,5.439,0.007,Po74 mu-Xray    ,['Po74'],R079197,,absl
079197,5.437,0.0063,Be90 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Be90', 'Fr95']",R079197,,absl
080198,5.448,0.0065,Bu89 El+mu analysis.    From Fr95 T. III.A.    Error estimated,"['Bu89', 'Fr95']",R080198,,absl
080199,5.449,0.0069,Gu83 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Gu83', 'Fr95']",R080199,,absl
080200,5.457,0.0065,Bu89 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Bu89', 'Fr95']",R080200,,absl
080202,5.467,0.0066,Bu89 mu-Xray      From Fr95 Table III.A.      Error estimated,"['Bu89', 'Fr95']",R080202,,absl
080204,5.472,0.002,"Ma92 El+mu analysis.      Includes  Bu89, Ha79?","['Ma92', 'Bu89', 'Ha79']",R080204,,absl
081203,5.4634,0.0056,Eu78 El+mu anal. with Ba72(mu).    Error: .0074(st)+.0010(sys),"['Eu78', 'Ba72', '0074', '0010']",R081203,,absl
081203,5.472,0.006,Ke75 mu-Xray      ,['Ke75'],R081203,,absl
081205,5.4699,0.0056,Eu78 El+mu anal. with Ba72(mu).    Error: .0046(st)+.0010(sys),"['Eu78', 'Ba72', '0046', '0010']",R081205,,absl
081205,5.479,0.01,Fr83 el-scatt.      From Vr87      ,"['Fr83', 'Vr87']",R081205,,absl
081205,5.48,0.006,Ke75 mu-Xray      ,['Ke75'],R081205,,absl
082196,5.442,0.0105,Fr95 OEM  combined analysis in Table  XII.    V2  error added,['Fr95'],R082196,,absl
082197,5.442,0.0105,Fr95 OEM  combined analysis in Table  XII.    V2  error added,['Fr95'],R082197,,absl
082198,5.45,0.0085,Fr95 OEM  combined analysis in Table  XII.    V2  error added,['Fr95'],R082198,,absl
082199,5.45,0.0085,Fr95 OEM  combined analysis in Table  XII.    V2  error added,['Fr95'],R082199,,absl
082200,5.459,0.0075,Fr95 OEM  combined analysis in Table  XII.    V2  error added,['Fr95'],R082200,,absl
082201,5.461,0.0075,Fr95 OEM  combined analysis in Table  XII.    V2  error added,['Fr95'],R082201,,absl
082202,5.469,0.0055,Fr95 OEM  combined analysis in Table  XII.    V2  error added,['Fr95'],R082202,,absl
082203,5.471,0.0055,Fr95 OEM  combined analysis in Table  XII.    V2  error added,['Fr95'],R082203,,absl
082204,5.479,0.002,"Ma92 Includes Eu78, Ke75 ","['Ma92', 'Eu78', 'Ke75']",R082204,,absl
082205,5.482,0.0035,Fr95 OEM  combined analysis in Table  XII.    V2  error added,['Fr95'],R082205,,absl
082206,5.49,0.002,"Ma92 Includes Eu78, Ke75 ","['Ma92', 'Eu78', 'Ke75']",R082206,,absl
082207,5.495,0.002,"Ma92 Includes Eu78, Ke75 ","['Ma92', 'Eu78', 'Ke75']",R082207,,absl
082208,5.4987,0.0034,"Fr77b Re-anal. of  He69, Ni69, Fr72b.   Mod+Sys+Nuclp=.002","['Fr77b', 'He69', 'Ni69', 'Fr72b']",R082208,,absl
082208,5.502,0.002,"Ma92 Includes Eu78, Ke75, Be88 ","['Ma92', 'Eu78', 'Ke75', 'Be88']",R082208,,absl
082209,5.511,0.0025,Fr95 OEM  combined analysis in Table  XII.    V2  error added,['Fr95'],R082209,,absl
082210,5.523,0.0035,Fr95 OEM  combined analysis in Table  XII.    V2  error added,['Fr95'],R082210,,absl
082211,5.533,0.0055,Fr95 OEM  combined analysis in Table  XII.    V2  error added,['Fr95'],R082211,,absl
082212,5.545,0.0075,Fr95 OEM  combined analysis in Table  XII.    V2  error added,['Fr95'],R082212,,absl
082214,5.565,0.0105,Fr95 OEM  combined analysis in Table  XII.    V2  error added,['Fr95'],R082214,,absl
083209,5.527,0.02,Si73b el-scatt.    ,['Si73b'],R083209,,absl
083209,5.5186,0.0047,Eu78 El+mu anal.      Error: .0037(stat)+.0010(syst),"['Eu78', '0037', '0010']",R083209,,absl
083209,5.533,0.006,Ze70 mu-Xray      MIA in  En74 T.III.      Syst+Nuclp=.001  ,"['Ze70', 'En74']",R083209,,absl
083209,5.533,0.0095,Ru84b mu-Xray      From Fr95 Table III.A.      Error estimated,"['Ru84b', 'Fr95']",R083209,,absl
090232,5.7848,0.0124,"Cl78 mu-Xray.    Error est.: 2x,0062 (stat), rms from Ko07","['Cl78', '0062', 'Ko07']",R090232,,absl
092233,5.8158,0.0132,"Zu84 mu-Xray.    Error est.: 2x,0066 (stat)","['Zu84', '0066']",R092233,,absl
092234,5.8289,0.0062,"Zu84 mu-Xray.    Error est.: 2x,0031 (stat)","['Zu84', '0031']",R092234,,absl
092235,5.8186,0.0174,"Cl78 mu-Xray.    Error est.: 2x,0087 (stat), rms from Ko07","['Cl78', '0087', 'Ko07']",R092235,,absl
092235,5.8343,0.0056,"Zu84 mu-Xray.    Error est.: 2x,0028 (stat)","['Zu84', '0028']",R092235,,absl
092238,5.854,0.02,Cr77 el-scatt.      From Vr87      Error estimated.,"['Cr77', 'Vr87']",R092238,,absl
092238,5.8446,0.0124,"Cl78 mu-Xray.    Error est.: 2x,0061 (stat), rms from Ko07","['Cl78', '0061', 'Ko07']",R092238,,absl
092238,5.8604,0.0046,"Zu84 mu-Xray.    Error est.: 2x,0023 (stat)","['Zu84', '0023']",R092238,,absl
094239,5.8601,0.0378,"Cl78 mu-Xray.    Error est.: 2x,0189 (stat), rms from Ko07","['Cl78', '0189', 'Ko07']",R094239,,absl
095241,5.8929,0.0035,Jo85 mu-Xray      Model+Syst+Nuclpol = .001  ,['Jo85'],R095241,,absl
095243,5.9047,0.0035,Jo85 mu-Xray      Model+Syst+Nuclpol = .001  ,['Jo85'],R095243,,absl
"006012,007014",0.098,0.02,"Vr87 (Be71b), el: FB","['Be71b', 'Vr87']",R007014-R006012,nan,noniso
"006012,008016",0.271,0.024,"Vr87 (Be71b), el: FB","['Be71b', 'Vr87']",R008016-R006012,nan,noniso
"006014,008016",0.1881416837012032,0.011648258969490607,"Fr95,   mu.  Nem differencia-mérés; 2022-ben nem került alkalmazásra",['Fr95'],R008016-R006014,No,noniso
"007014,008016",0.166,0.02166,"Vr87 (Sc75),  el","['Sc75', 'Vr87']",R008016-R007014,nan,noniso
"008016,010020",0.279,0.023790000000000002,"Vr87 (Fr72a),  el.   Nem került alkalmazásra; a 20Ne egy másik, nagyobb hálózatban szerepel.","['Fr72a', 'Vr87']",R010020-R008016,No,noniso
"008018,009019",0.124,0.011800000000000001,"Fr92,   mu",['Fr92'],R009019-R008018,nan,noniso
"008018,010020",0.2314009542042219,0.012665649818202274,"Fr95 (Fr92),  mu","['Fr92', 'Fr95']",R010020-R008018,nan,noniso
"009019,010020",0.10614994036022095,0.004267876492363919,"Fr95 (Fr92),  mu","['Fr92', 'Fr95']",R010020-R009019,nan,noniso
"010022,011023",0.03935879009712083,0.0031005413681787462,"Fr95 (Fr92),  mu","['Fr92', 'Fr95']",R011023-R010022,nan,noniso
"010022,012024",0.10151990850932333,0.003025165023490951,"Fr95 (Fr92),  mu","['Fr92', 'Fr95']",R012024-R010022,nan,noniso
"011023,012024",0.064,0.0049,"Fr92,   mu",['Fr92'],R012024-R011023,nan,noniso
"012026,013027",0.028170118392482842,0.002401007356517295,"Fr95 (Fr92),  mu","['Fr92', 'Fr95']",R013027-R012026,nan,noniso
"012026,014028",0.0871649460972635,0.003025348491683014,"Fr95 (Fr92),  mu","['Fr92', 'Fr95']",R014028-R012026,nan,noniso
"013027,014028",0.06,0.0040999999999999995,"Fr92,   mu",['Fr92'],R014028-R013027,nan,noniso
"014030,016032",0.12783809118246606,0.006840532509013322,"Fr95,   mu.   Nem differencia-mérés; 2022-ben nem került alkalmazásra.",['Fr95'],R016032-R014030,No,noniso
"015031,016032",0.07186658765983307,0.0021701383832245904,"Fr95,   mu",['Fr95'],R016032-R015031,nan,noniso
"016034,018036",0.10389395079893933,0.002638808516599138,"Fr95,   mu",['Fr95'],R018036-R016034,nan,noniso
"019039,020040",0.04292911801672488,0.0031040426845081164,"Fr95 (Wo81),  mu","['Wo81', 'Fr95']",R020040-R019039,nan,noniso
"018040,020042",0.08039856692487303,0.0032606921424632035,"Fr95,   mu.   Nem differencia-mérés; 2022-ben nem került alkalmazásra.",['Fr95'],R020042-R018040,No,noniso
"019041,020042",0.0567,0.0066,"Wo81 + 1,   mu",['Wo81'],R020042-R019041,nan,noniso
"020044,021045",0.02750658307939719,0.002714511960345308,"Fr95 (Wo81),  mu","['Wo81', 'Fr95']",R021045-R020044,nan,noniso
"020044,022046",0.08704523049967099,0.00263879485800555,"Fr95 (Wo81),  mu","['Wo81', 'Fr95']",R022046-R020044,nan,noniso
"021045,022046",0.0596,0.0058,"Wo81 + 1,   mu",['Wo81'],R022046-R021045,nan,noniso
"020046,022048",0.0931,0.0086,"Wo81 + 1,   mu",['Wo81'],R022048-R020046,nan,noniso
"022048,024050",0.0689,0.0059,"Wo81 + 1,   mu",['Wo81'],R024050-R022048,nan,noniso
"020048,022050",0.0937,0.0034,"Wo81 + 1,   mu",['Wo81'],R022050-R020048,nan,noniso
"022050,023051",0.028059537613919997,0.002325330788343092,"Fr95 (Wo81),  mu","['Wo81', 'Fr95']",R023051-R022050,nan,noniso
"022050,024052",0.06945178059360044,0.00217128279709884,"Fr95 (Wo81),  mu","['Wo81', 'Fr95']",R024052-R022050,nan,noniso
"023051,024052",0.0419,0.0055,"Wo81 + 1,   mu",['Wo81'],R024052-R023051,nan,noniso
"024052,026054",0.0515,0.0057,"Wo81 + 1,   mu",['Wo81'],R026054-R024052,nan,noniso
"024054,025055",0.019334700438827623,0.0020916462615441175,"Fr95 (Wo81),  mu","['Wo81', 'Fr95']",R025055-R024054,nan,noniso
"024054,026056",0.0497430283212968,0.0022484654221990434,"Fr95 (Wo81),  mu","['Wo81', 'Fr95']",R026056-R024054,nan,noniso
"025055,026056",0.0316,0.0055,"Wo81 + 1,   mu",['Wo81'],R026056-R025055,nan,noniso
