Iso_Idxs,Value,Unc,RefRemarks,Refs,Term,Include,Table
"042096,042098",0.024051827136050266,0.0007706842620462836,Fr95 (Sc80),"['Sc80', 'Fr95']",R042098-R042096,nan,isom
"042098,042100",0.036780553834674275,0.0008615033365892268,Fr95 (Sc80),"['Sc80', 'Fr95']",R042100-R042098,nan,isom
"044096,044098",0.03077209096649949,0.0007774843670210589,Fr95,['Fr95'],R044098-R044096,nan,isom
"044098,044099",0.011715263058311989,0.0007584275391128714,Fr95,['Fr95'],R044099-R044098,nan,isom
"044098,044100",0.030459683951611173,0.0007771719600061706,Fr95,['Fr95'],R044100-R044098,nan,isom
"044100,044101",0.008122582387096311,0.0010672418733299754,Fr95,['Fr95'],R044101-R044100,nan,isom
"044100,044102",0.02796042783250461,0.0010089779650533039,Fr95,['Fr95'],R044102-R044100,nan,isom
"044102,044104",0.028663343616003336,0.0009315791271147226,Fr95,['Fr95'],R044104-R044102,nan,isom
"046102,046104",0.02499606369643804,0.0011623484523128646,Fr95,['Fr95'],R046104-R046102,nan,isom
"046104,046105",0.007342593710828675,0.001379033079481362,Fr95,['Fr95'],R046105-R046104,nan,isom
"046104,046106",0.02382437321066751,0.0010830640627757253,Fr95,['Fr95'],R046106-R046104,nan,isom
"046106,046108",0.02398059860877025,0.001005107589122459,Fr95,['Fr95'],R046108-R046106,nan,isom
"046108,046110",0.02163721763722918,0.0010808769072022872,Fr95,['Fr95'],R046110-R046108,nan,isom
"047107,047109",0.02124809881441384,0.0007680741712441818,Fr95,['Fr95'],R047109-R047107,nan,isom
"048106,048108",0.01976517455510928,0.000922874150823819,Fr95,['Fr95'],R048108-R048106,nan,isom
"048108,048110",0.01992142099428011,0.0008449071776775775,Fr95,['Fr95'],R048110-R048108,nan,isom
"048110,048111",0.00499988605346638,0.0008299856427367638,Fr95,['Fr95'],R048111-R048110,nan,isom
"048110,048112",0.01929643523759681,0.0008442821919208943,Fr95,['Fr95'],R048112-R048110,nan,isom
"048112,048113",0.004843639614295556,0.0007517061767121808,Fr95,['Fr95'],R048113-R048112,nan,isom
"048112,048114",0.017577724406717742,0.000764440261504603,Fr95,['Fr95'],R048114-R048112,nan,isom
"048114,048116",0.01492153494081373,0.000761784072038699,Fr95,['Fr95'],R048116-R048114,nan,isom
"049113,049115",0.016328821098440704,0.001700767102774868,Fr95,['Fr95'],R049115-R049113,nan,isom
"050112,050114",0.016329869537453176,0.000841396646090685,Fr95,['Fr95'],R050114-R050112,nan,isom
