Type,id,Citation,Elements,Authors,Year
Muonic,Be68,"S.Bernow, et al.: Phys. Rev. Lett. 21 (1968) 457 ","..................................... Nd, Sm, Gd, Er, W","S.Bernow,etal.",1968
Muonic,Ca68,"RA.Carrigan.Jr., et al.: Phys. Rev. Lett. 20 (1968) 874 ",.......................... Eu,"RA.Carrigan.Jr.,etal.",1968
Muonic,Ca68a,"R.A.Carrigan,Jr., et al.: Phys. Letters, 278 (1968) 622 ",........................... Ag,"R.A.Carrigan,Jr.,etal.",1968
Muonic,Eh68,RD.Ehrlich: Phys. Rev. 173 (1968) 1088 ,"................................................ K, Ca, Fe, Ni, Cu, Sr, Zr, Sn",RD.Ehrlich,1968
Muonic,Ha68,"R.J Harris, et al.: Phys. Rev. Lett. 20 (1968) 505 ",".................................... Li, Be, B, C","R.JHarris,etal.",1968
Muonic,Po68,R.J.Powers: Phys. Rev. 169 (1968) 1 ,"...................................................... Pb, Bi",R.J.Powers,1968
Muonic,Su68,"M.N.Suzuki: Thesis, Carnegie-Mellon Univ. (1968) unp. (from En74) ",..... Lu,M.N.Suzuki,1968
Muonic,An69,"H.L.Anderson, etal.: Phys. Rev. 187 (1969) 1565 ",.................................. Pb,"H.L.Anderson,etal.",1969
Muonic,Co69,"RE.Cati, etal.: Phys. Rev. 179 (1969) 1134 ","........................................... Th, U","RE.Cati,etal.",1969
Muonic,Fo69,"KW.Ford, and J.G.Wills: Phys. Rev. 185 (1969) 1429 ",............................ Theory,"KW.Ford,J.G.Wills",1969
Muonic,Le69,"W.Y.Lee, et al.: Phys. Rev. Lett. 23 (1969) 648 ","....................................... In, Cs, Pr","W.Y.Lee,etal.",1969
Muonic,MK69,R.J.McKee: Phys. Rev. 180 (1969) 1139 ,"................................................. Th, U",R.J.McKee,1969
Muonic,Wu69,C.S.Wu and L.Wilets: Ann. Rev. Nuc/. Sci. 19 (1969) 546 ,...................... Review,C.S.WuL.Wilets,1969
Muonic,Be70,"A.Bertin, et al.: Phys. Letters, 558 (1970) 411 ",........................................ He,"A.Bertin,etal.",1970
Muonic,Hi70,"D.Hitlin, et al.: Phys. Rev, C1 (1970) 1184 ",".............................................. Nd, Sm, Dy, Er, W","D.Hitlin,etal.",1970
Muonic,Je70,"D.A.Jenkins, et al.: Phys. Letters, 328 (1970) 267 ",.................................. Ce,"D.A.Jenkins,etal.",1970
Muonic,Ke70,"D.Kessler, et al.: Can. J. Phys. 48 (1970) 3029 ",....................................... Y,"D.Kessler,etal.",1970
Muonic,Ma70,"E.RMacagno, et al.: Phys. Rev. C1 (1970) 1202 ",".................................... Ca, Cr, Cu, Mo, Sn, Nd","E.RMacagno,etal.",1970
Muonic,Ba71,"G.Backenstoss, et al.: Phys. Letters, 36B (1971) 422 ","............................. Ne, Ar","G.Backenstoss,etal.",1971
Muonic,Ba71a,"H.Backe: Z. Physik, 241 (1971) 435 ","........................................................ W, Os, Bi",H.Backe,1971
Muonic,Bv71,T.Bohringer: Trav. dip/. ETH Zurich (1971) unpubl. (From En74) ,........... Fe,T.Bohringer,1971
Muonic,Di71,"M.S.Dixit, etal.: Phys. Rev. Lett. 27 (1971) 878 ","...................................... Ca, Ti, Fe, Sr, Ag, Cd,Sn,Ba,Pb","M.S.Dixit,etal.",1971
Muonic,Je71,"D.A.Jenkins, et al.: Nucl. Phys. A175 (1971) 73 ",...................................... Pb,"D.A.Jenkins,etal.",1971
Muonic,Ka71,"J.W.Kast, et al.: Nucl Phys. A169 (1971) 62 ","........................................... Cd, In, Sn, Te, I","J.W.Kast,etal.",1971
Muonic,Ki71,Y.N.Kim: Mesic atoms and nuclear structure. North-Holland P.Co.(1971) ,Review,Y.N.Kim,1971
Muonic,Pl71,"A.Placci, et al.: Nuovo Cimento 1A (1971) 445 ",....................................... He,"A.Placci,etal.",1971
Muonic,Ba72,"H.Backe, et al.: Nuc/. Phys. A189 (1972) 472 ",......................................... Tl,"H.Backe,etal.",1972
Muonic,Ki72,"Y.N.Kim, and M.Khan: Phys. Letters, 408 (1972) 217 ",............................ Pb (theory),"Y.N.Kim,M.Khan",1972
Muonic,Ma72,"P.Martin: Thesis, William and Mary College, WM-38-72 (from En74) ",..... Ba,P.Martin,
Muonic,Po72,"H.P.Povel: Thesis, Karlsruhe, KFK 1602 (1972) to be publ. (from En74)", Nb,H.P.Povel,1602
Muonic,Wa72,"H.K.Walter, etal.: Phys. Letters, 408 (1972) 197 ",".................................... Hg, Tl","H.K.Walter,etal.",1972
Muonic,Ad73,"D.T.Adler: Thesis, Carnegie-Me/Ion Univ. (1973) (from En74) ",................ Yb,D.T.Adler,1973
Muonic,De73,"E.Deci: Thesis, State Univ. NY at Binghampton (1973) unp. (from En74)", Tm,E.Deci,1973
Muonic,Fo73,"KW.Ford, and G.A.Rinker: Phys. Rev. C7 (1973) 1206 ",.......................... Pb (Re-anal.),"KW.Ford,G.A.Rinker",1973
Muonic,Pf73,H.J.Pfeiffer et al: Proc. Int. Conf. Nuc/. Phys. (1973) Munich Vol.1 p.313 .Ar,,H.J.Pfeifferetal,1973
Muonic,Ro73,"B.Robert-Tissot, et al.: He/v. Phys. Acta, 46 (1973) 51 ",........................... Au,"B.Robert-Tissot,etal.",1973
Muonic,Ze73,"A.Zehnder: Thesis, ETH Zurich (1973) to be publ. (from En74) ",.............. Yb,A.Zehnder,1973
Muonic,Ba74,"G.Backenstoss, et al.: Nuc/. Phys. A232 (1974) 519 ",............................... He,"G.Backenstoss,etal.",1974
