Z,A,R,DR,Ref.,Remarks,Type,connect_abs_idxs,connect_rel_idxs
60,144,4.9415000000000004,0.0035355339059091155,Ma70,MIA in  En74 T.III.      Syst+Nuclpol = .001  ,mu-Xray,"324,323",
60,145,4.953,0.005399999999991786,Re87,From Fr95 Table III.A.      Error estimated,mu-Xray,325,
60,146,4.968721679334057,0.003519502564127823,Ma74,,el-scatt.,"328,326,327",
60,148,4.998,0.0030728851183891947,Ma70,MIA in  En74 T.III.      Syst+Nuclpol = .001  ,mu-Xray,"329,330",
60,150,5.041934417420308,0.003115144573576235,Ma74,,el-scatt.,"334,333,331,332",
62,144,4.949,0.005299999999965896,Fr95,,,335,
62,147,4.983,0.005299999999996973,Fr95,,,336,
62,148,4.994,0.005299999999973667,Fr95,,,337,
62,149,5.008,0.005299999999969791,Fr95,,,338,
62,150,5.047,0.006800000000041553,Fr95,,,339,
62,152,5.092,0.0056000000000416515,Fr95,,,340,
62,154,5.113,0.0062999999999850485,Fr95,,,341,
63,151,5.044,0.005300000000013248,Fr95,,,342,
63,153,5.118,0.005500000000019614,Fr95,,,343,
64,154,5.122,0.006200000000051519,Fr95,,,344,
64,155,5.13,0.005800000000002672,Fr95,,,345,
64,156,5.142,0.005799999999984745,Fr95,,,346,
64,157,5.146,0.005800000000012156,Fr95,,,347,
64,158,5.159,0.005800000000001094,Fr95,,,348,
64,160,5.174,0.005800000000003721,Fr95,,,349,
65,159,5.06,0.1500000000006234,Wi67,,mu-Xray,350,
66,161,5.196,0.006099999999952322,Be92,From Fr95 Table III.A.      Error estimated,mu-Xray,351,
66,162,5.209101123595506,0.005846347174157741,Hi70,,mu-Xray,"353,352",
66,163,5.211,0.005899999999956673,Be92,From Fr95 Table III.A.      Error estimated,mu-Xray,354,
66,164,5.223761523618137,0.00578156030191376,Hi70,,mu-Xray,"356,355",
67,165,5.202195121951286,0.031234752377625793,Uh71,,el-scatt.,"357,358",
68,166,5.239,0.006000000000049341,Ma92,,,359,
68,167,5.258,0.005999999999978227,Ma92a,From Fr95 Table III.A.      Error estimated,mu-Xray,360,
68,168,5.271283455445399,0.006109012103931864,Hi70,,mu-Xray,"362,361",
68,170,5.284686334983231,0.00610901210385279,Hi70,,mu-Xray,"364,363",
69,169,5.2256,0.003499999999998106,De73,Model+Syst+Nuclpol = .001  ,mu-Xray,365,
70,170,5.286,0.00629999999996836,Ze73,From Fr95 Table III.A.      Error estimated,mu-Xray,366,
70,171,5.286537687960225,0.02219218179130134,Ad73,From  En74.      Error: 2x.015 for model,mu-Xray,"367,368",
70,172,5.298066979131354,0.015141187134792618,Ad73,From  En74.      Error: 2x.022 for model,mu-Xray,"370,369",
70,173,5.306,0.006300000000007342,Ze73,From Fr95 Table III.A.      Error estimated,mu-Xray,371,
70,174,5.314284782209161,0.01906263584051257,Sa79,From Vr87      ,el-scatt.,"372,374,373",
70,176,5.332012713501891,0.025083644532132528,Cr77,From Vr87      Includes  Co76,el-scatt.,"375,376",
71,175,5.37,0.030000000000222744,Sa79,From Vr87      ,el-scatt.,377,
72,176,5.331,0.006499999999976207,Ta84c,From Fr95 Table III.C.      Error estimated,mu-Xray,378,
72,177,5.334,0.006499999999998437,Ta84c,From Fr95 Table III.C.      Error estimated,mu-Xray,379,
72,178,5.338,0.006500000000028041,Ta84c,From Fr95 Table III.C.      Error estimated,mu-Xray,380,
72,179,5.339,0.006500000000035435,Ta84c,From Fr95 Table III.C.      Error estimated,mu-Xray,381,
72,180,5.349,0.006300000000001252,Ta84c,From Fr95 Table III.C.      Error estimated,mu-Xray,382,
73,181,5.3531102793742384,0.006289542734890488,ML76,,mu-Xray,"384,383",
74,182,5.355,0.002000000000014016,Ma92,,,385,
74,183,5.33,0.1499999999992798,Wi67,,mu-Xray,386,
74,184,5.364,0.0020000000000012703,Ma92,,,387,
74,186,5.380823445792156,0.006159271062378571,Ka73,,el-scatt.,"389,390,388",
76,186,5.387,0.007199999999953958,Ho81,From Fr95 Table III.C.      Error estimated,mu-Xray,391,
76,188,5.4001,0.0013000000000087356,Bo88,,,392,
76,189,5.36,0.14999999999941502,Wi67,,mu-Xray,393,
76,190,5.4062,0.0013999999999936964,Bo88,,,394,
76,192,5.41,0.002000000000006106,Ma92,,,395,
77,191,5.39,0.14999999999954872,Wi67,,mu-Xray,396,
77,193,5.41,0.15000000000045796,Wi67,,mu-Xray,397,
78,194,5.404269419174176,0.019508214286268203,Bo88,,el-scatt.,"399,398",
78,195,5.427,0.0069000000000394345,Be90,From Fr95 Table III.A.      Error estimated,mu-Xray,400,
78,196,5.380099501780631,0.011503752178952435,Bo83,From Vr87      ,el-scatt.,"402,401,403",
78,198,5.441,0.00630000000003159,Be90,From Fr95 Table III.A.      Error estimated,mu-Xray,404,
79,197,5.43789502762431,0.004682753121374111,Po74,,mu-Xray,"406,405",
80,198,5.448,0.00649999999997734,Bu89,,,407,
80,199,5.449,0.006899999999983644,Gu83,From Fr95 Table III.A.      Error estimated,mu-Xray,408,
80,200,5.457,0.006500000000042527,Bu89,From Fr95 Table III.A.      Error estimated,mu-Xray,409,
80,202,5.467,0.006600000000009249,Bu89,From Fr95 Table III.A.      Error estimated,mu-Xray,410,
80,204,5.472,0.002000000000013907,Ma92,,,411,
81,203,5.467403800475028,0.004192991822887243,Eu78,,,"413,412",
81,205,5.475233420131831,0.0037887069817918602,Eu78,,,"416,414,415",
82,196,5.442,0.010500000000064368,Fr95,,,417,
82,197,5.442,0.010500000000064368,Fr95,,,418,
82,198,5.45,0.008499999999989336,Fr95,,,419,
82,199,5.45,0.008499999999989336,Fr95,,,420,
82,200,5.459,0.007499999999943728,Fr95,,,421,
82,201,5.461,0.007499999999960442,Fr95,,,422,
82,202,5.469,0.005500000000019929,Fr95,,,423,
82,203,5.471,0.005500000000032141,Fr95,,,424,
82,204,5.479,0.001999999999996997,Ma92,,,425,
82,205,5.482,0.003500000000006388,Fr95,,,426,
82,206,5.49,0.001999999999989001,Ma92,,,427,
82,207,5.495,0.0020000000000000707,Ma92,,,428,
82,208,5.50115167095115,0.0017238684303019151,Fr77b,,,"429,430",
82,209,5.511,0.002500000000003909,Fr95,,,431,
82,210,5.523,0.0034999999999953918,Fr95,,,432,
82,211,5.533,0.005499999999964896,Fr95,,,433,
82,212,5.545,0.0075000000000508766,Fr95,,,434,
82,214,5.565,0.01049999999996515,Fr95,,,435,
83,209,5.525301763709817,0.0037587299835407594,Si73b,,el-scatt.,"439,437,436,438",
90,232,5.7848,0.012400000000006113,Cl78,"Error est.: 2x,0062 (stat), rms from Ko07",mu-Xray,440,
92,233,5.8158,0.013200000000030911,Zu84,"Error est.: 2x,0066 (stat)",mu-Xray,441,
92,234,5.8289,0.006199999999995248,Zu84,"Error est.: 2x,0031 (stat)",mu-Xray,442,
92,235,5.83282642164492,0.0053307220551480055,Cl78,"Error est.: 2x,0087 (stat), rms from Ko07",mu-Xray,"443,444",
92,238,5.858289228379431,0.004215897263415078,Cr77,From Vr87      Error estimated.,el-scatt.,"446,447,445",
94,239,5.8601,0.03779999999993389,Cl78,"Error est.: 2x,0189 (stat), rms from Ko07",mu-Xray,448,
95,241,5.8929,0.003500000000017355,Jo85,Model+Syst+Nuclpol = .001  ,mu-Xray,449,
95,243,5.9047,0.003500000000017712,Jo85,Model+Syst+Nuclpol = .001  ,mu-Xray,450,
