m_idxs,iso_idxs,redchisq,dof,lim
243,047109,2.0839224999999966e-09,1,3.8284271247461903
211,040094,1.8757560999999993e-09,1,3.8284271247461903
216,042092,1.8619224999999995e-09,1,3.8284271247461903
307,055133,2.3078415999999957e-09,1,3.8284271247461903
350,065159,2.5603599999942387e-09,1,3.8284271247461903
"240,241,239",046110,7.672606872190379,3,2.632993161855452
"100,101",020040,0.11111111171561244,2,3.0
427,082206,3.014009999999999e-09,1,3.8284271247461903
"443,444",092235,0.3688644815286919,2,3.0
"292,293",052126,0.1140250866365858,2,3.0
"328,326,327",060146,0.1514971657403069,3,2.632993161855452
"329,330",060148,1.249000199999999e-09,2,3.0
392,076188,2.9161080009999997e-09,1,3.8284271247461903
346,064156,2.6440163999999915e-09,1,3.8284271247461903
"56,55",012025,2.666456295819657,2,3.0
"376,375",070176,16.92556119226049,2,3.0
"257,258",048116,1.1880227917123127,2,3.0
102,020042,1.2306063999999986e-09,1,3.8284271247461903
441,092233,3.3823529639999414e-09,1,3.8284271247461903
"416,414,415",081205,0.5600164113391847,3,2.632993161855452
"208,209",040091,9.180612499999998e-10,2,3.0
"12,13,14",004009,0.21944667074430643,3,2.632993161855452
210,040092,1.8533024999999993e-09,1,3.8284271247461903
"265,266",050112,0.5414364651416914,2,3.0
435,082214,3.0969224999999666e-09,1,3.8284271247461903
440,090232,3.3463911039999485e-09,1,3.8284271247461903
379,072177,2.845155599999988e-09,1,3.8284271247461903
193,036082,1.7572863999999979e-09,1,3.8284271247461903
"213,214,215",041093,0.1431151585045098,3,2.632993161855452
348,064158,2.661528099999991e-09,1,3.8284271247461903
304,054132,2.2915368999999946e-09,1,3.8284271247461903
218,042095,1.902878883999998e-09,1,3.8284271247461903
"32,33",007015,0.7192866582004366,2,3.0
345,064155,2.631689999999991e-09,1,3.8284271247461903
223,044096,1.9298448999999954e-09,1,3.8284271247461903
434,082212,3.0747024999999827e-09,1,3.8284271247461903
432,082210,3.050352899999996e-09,1,3.8284271247461903
"146,147,148",028062,1.4922032000885475,3,2.632993161855452
343,063153,2.6193923999999925e-09,1,3.8284271247461903
"40,41,39",008018,1.5350542007959218,3,2.632993161855452
