Z1,A1,Z2,A2,dR,DdR,Include,Term,Table,connect_abs_idxs,connect_rel_idxs
46,106,46,108,0.0239805986087702,0.0010051075913250866,,R291-R290,isom,,"267,269,270,271,268"
46,108,46,110,0.021637217637229103,0.0010808769047358688,,R292-R291,isom,,"267,269,270,271,268"
47,107,47,109,0.021248098497792457,0.0007680741711576836,,R298-R297,isom,,272
48,106,48,108,0.019765174556067702,0.003638756549308635,,R305-R303,isom,,"381,163,166,275,164,380,274,278,273,279,382,276,165,277,383"
48,108,48,110,0.019921420994455548,0.003331344276303135,,R307-R305,isom,,"381,163,166,275,164,380,274,278,273,279,382,276,165,277,383"
48,110,48,111,0.004999886053545996,0.003272510865313559,,R308-R307,isom,,"381,163,166,275,164,380,274,278,273,279,382,276,165,277,383"
48,110,48,112,0.019773841671995536,0.003318444663047158,,R309-R307,isoe,,"381,163,166,275,164,380,274,278,273,279,382,276,165,277,383"
48,110,48,116,0.052998558980838016,0.005374285070707413,,R313-R307,isoe,,"381,163,166,275,164,380,274,278,273,279,382,276,165,277,383"
48,112,48,113,0.004843639614640863,0.0029638664980771528,,R310-R309,isom,,"381,163,166,275,164,380,274,278,273,279,382,276,165,277,383"
48,112,48,114,0.017959559443241763,0.003006569599579268,,R311-R309,isoe,,"381,163,166,275,164,380,274,278,273,279,382,276,165,277,383"
48,114,48,116,0.015265157865600718,0.0029964405562937146,,R313-R311,isoe,,"381,163,166,275,164,380,274,278,273,279,382,276,165,277,383"
49,113,49,115,0.016328820855122307,0.0017007671003555626,,R327-R325,isom,,280
50,112,50,114,0.016250655762968254,0.003506483050717095,,R346-R344,isom,,"283,286,170,289,281,168,287,288,290,292,167,285,291,169,384,282,284"
50,112,50,118,0.048328702611555655,0.00588860984272688,,R350-R344,isoe,,"283,286,170,289,281,168,287,288,290,292,167,285,291,169,384,282,284"
50,114,50,116,0.01625065576302554,0.0035064830532928097,,R348-R346,isom,,"283,286,170,289,281,168,287,288,290,292,167,285,291,169,384,282,284"
50,116,50,117,0.004923257584429148,0.0031614619347070556,,R349-R348,isom,,"283,286,170,289,281,168,287,288,290,292,167,285,291,169,384,282,284"
50,116,50,118,0.015827391085561863,0.0032033157346313583,,R350-R348,isoe,,"283,286,170,289,281,168,287,288,290,292,167,285,291,169,384,282,284"
50,116,50,120,0.029772902028382196,0.003493017135683254,,R352-R348,isom,,"283,286,170,289,281,168,287,288,290,292,167,285,291,169,384,282,284"
50,116,50,124,0.053417146047768135,0.005532403879328948,,R356-R348,isoe,,"283,286,170,289,281,168,287,288,290,292,167,285,291,169,384,282,284"
50,117,50,120,0.02484964444395305,0.0041237125671482605,,R352-R349,isom,,"283,286,170,289,281,168,287,288,290,292,167,285,291,169,384,282,284"
50,118,50,119,0.0034647560894349796,0.003315789694375387,,R351-R350,isom,,"283,286,170,289,281,168,287,288,290,292,167,285,291,169,384,282,284"
50,118,50,120,0.013945510942820333,0.003079988132853283,,R352-R350,isom,,"283,286,170,289,281,168,287,288,290,292,167,285,291,169,384,282,284"
50,118,50,124,0.03758975496220627,0.0056553167101642335,,R356-R350,isoe,,"283,286,170,289,281,168,287,288,290,292,167,285,291,169,384,282,284"
50,119,50,120,0.010480754853385354,0.003882864072440214,,R352-R351,isom,,"283,286,170,289,281,168,287,288,290,292,167,285,291,169,384,282,284"
50,120,50,122,0.012755752226310122,0.004105292681062296,,R354-R352,isom,,"283,286,170,289,281,168,287,288,290,292,167,285,291,169,384,282,284"
50,122,50,124,0.010888491793075813,0.0038497465019657166,,R356-R354,isom,,"283,286,170,289,281,168,287,288,290,292,167,285,291,169,384,282,284"
51,121,51,123,0.008215034615795305,0.0008329466897492915,,R366-R365,isom,,"385,293"
52,122,52,123,0.002578722623957371,0.0023902907913521177,,R371-R370,isom,,"296,386,294,295,388,297,298,387,299"
52,122,52,124,0.009533459397661545,0.0024011488696116666,,R372-R370,isom,,"296,386,294,295,388,297,298,387,299"
52,124,52,125,0.0017191484159715976,0.001046939141559979,,R373-R372,isom,,"296,386,294,295,388,297,298,387,299"
52,124,52,126,0.00824470258129891,0.0010567956981738036,,R374-R372,isom,,"296,386,294,295,388,297,298,387,299"
52,126,52,128,0.007918375444045639,0.0010563048521501151,,R375-R374,isom,,"296,386,294,295,388,297,298,387,299"
52,128,52,130,0.007445570132862574,0.0010555724657951356,,R376-R375,isom,,"296,386,294,295,388,297,298,387,299"
